iter	Passed	Remaining
0	3	314
1	5	292
2	17	577
3	20	498
4	31	594
5	34	538
6	37	501
7	47	540
8	50	509
9	53	481
10	61	500
11	64	475
12	67	452
13	70	433
14	79	450
15	82	431
16	84	414
17	93	424
18	95	408
19	98	394
20	101	381
21	110	390
22	113	378
23	115	367
24	125	375
25	128	365
26	131	354
27	133	343
28	141	347
29	144	337
30	147	328
31	157	333
32	160	326
33	163	316
34	170	316
35	173	308
36	178	304
37	188	306
38	191	299
39	195	293
40	206	297
41	207	286
42	211	280
43	220	280
44	223	273
45	227	266
46	236	266
47	239	259
48	242	252
49	251	251
50	253	243
51	256	236
52	258	229
53	267	227
54	269	220
55	272	213
56	280	211
57	283	205
58	286	199
59	289	192
60	297	190
61	299	183
62	302	177
63	304	171
64	312	168
65	314	162
66	317	156
67	319	150
68	327	146
69	329	141
70	331	135
71	334	130
72	337	124
73	344	120
74	346	115
75	348	110
76	351	104
77	359	101
78	361	96
79	363	90
80	365	85
81	373	81
82	375	77
83	378	72
84	380	67
85	382	62
86	390	58
87	392	53
88	394	48
89	396	44
90	398	39
91	405	35
92	411	30
93	413	26
94	421	22
95	423	17
96	426	13
97	428	8
98	431	4
99	434	0
